domain	intent	pattern	bio
Contacts	ShowContactWithNameAndWithNumberAndWithType	utwórz nowy kontakt, używając nazwy konrad mazur o numerze 23 873 88 22 jako komórkowy	o o o o o b-name i-name o o b-phone_number i-phone_number i-phone_number i-phone_number o b-phone_type
Contacts	ShowContactWithNameAndWithNumberAndWithType	utwórz nowy kontakt, używając nazwy anatol kwiatkowski o numerze 582 897 887 jako stacjonarny	o o o o o b-name i-name o o b-phone_number i-phone_number i-phone_number o b-phone_type
Contacts	ShowContactWithNameAndWithNumberAndWithType	utwórz nowy kontakt, używając nazwy leopold o numerze 586 980 809 jako domowy	o o o o o b-name o o b-phone_number i-phone_number i-phone_number o b-phone_type
Contacts	ShowContactWithNameAndWithNumberAndWithType	utwórz nowy kontakt, używając nazwy michał o numerze 730 417 851 jako pracowy	o o o o o b-name o o b-phone_number i-phone_number i-phone_number o b-phone_type
Contacts	ShowContactWithNameAndWithNumberAndWithType	utwórz nowy kontakt, używając nazwy ewelina o numerze 648 990 407	o o o o o b-name o o b-phone_number i-phone_number i-phone_number
Contacts	ShowContactWithNameAndWithNumberAndWithType	utwórz nowy kontakt, używając nazwy wanda o numerze 654 444 497	o o o o o b-name o o b-phone_number i-phone_number i-phone_number
Contacts	ShowContactWithNameAndWithNumberAndWithType	utwórz nowy kontakt, używając nazwy wiesław wojciechowski o numerze 25 713 10 22	o o o o o b-name i-name o o b-phone_number i-phone_number i-phone_number i-phone_number
Contacts	ShowContactWithNameAndWithNumberAndWithType	utwórz nowy kontakt, używając nazwy magdalena niedzielski o numerze 44 622 99 41	o o o o o b-name i-name o o b-phone_number i-phone_number i-phone_number i-phone_number
Contacts	ShowContactWithNameAndWithNumberAndWithType	utwórz nowy kontakt, używając nazwy wanda podgórski o numerze 705 909 175	o o o o o b-name i-name o o b-phone_number i-phone_number i-phone_number
Contacts	ShowContactWithNameAndWithNumberAndWithType	utwórz nowy kontakt, używając nazwy ferdynand towarek o numerze 523 201 613	o o o o o b-name i-name o o b-phone_number i-phone_number i-phone_number
Contacts	ShowContactWithNameAndWithNumberAndWithType	utwórz nowy kontakt, używając nazwy witold górski o numerze 791 748 583 jako komórkowy	o o o o o b-name i-name o o b-phone_number i-phone_number i-phone_number o b-phone_type
Email	ShowEmailWithLabel	pokaż mi e-maile z etykietą spam	o o o o o b-label
Email	ShowEmailWithLabel	pokaż mi e-maile z etykietą ważne	o o o o o b-label
Email	ShowEmailWithLabel	pokaż mi moje e-maile z etykietą spam	o o o o o o b-label
Email	ShowEmailWithLabel	pokaż mi moje e-maile z etykietą ważne	o o o o o o b-label
Email	ShowEmailWithLabel	wyświetlać e-maile oznaczone spam	o o o b-label
Email	ShowEmailWithLabel	wyświetlać e-maile z etykietą ważne	o o o o b-label
Email	ShowEmailWithLabel	wyświetlać e-maile z etykietą spam	o o o o b-label
Email	ShowEmailWithLabel	wyświetl moje e-maile z etykietą ważne	o o o o o b-label
Email	ShowEmailWithLabel	wyświetlaj moje e-maile z etykietą spam	o o o o o b-label
Email	ShowEmailWithLabel	znajdź e-maile oznaczone ważne	o o o b-label
Email	ShowEmailWithLabel	znajdź e-maile z etykietą spam	o o o o b-label
Email	ShowEmailWithLabel	znajdź e-maile z etykietą ważne	o o o o b-label
Email	ShowEmailWithLabel	znajdę moje e-maile z etykietą spam	o o o o o b-label
Email	ShowEmailWithLabel	znajdź moje e-maile z etykietą ważne	o o o o o b-label
Email	ShowEmailFromTime	pokaż mi e-maile dotarły dziś	o o o o b-time
Email	ShowEmailFromTime	pokaż mi e-maile, które dotarły na adres wczoraj	o o o o o o o b-time
Email	ShowEmailFromTime	pokaż mi moje e-maile dotarły dwa dni temu	o o o o o b-time i-time i-time
Email	ShowEmailFromTime	wyświetlać wiadomości e-mail osiem godzin temu	o o o b-time i-time i-time
Email	ShowEmailFromTime	wyświetl moje e-maile dotarły w ciągu ostatnich czterech godzin	o o o o b-time i-time i-time i-time i-time
Email	ShowEmailFromTime	wyświetl moje e-maile, które dotarły na adres 30 minut temu	o o o o o o o b-time i-time i-time
Email	ShowEmailFromTime	znajdź e-maile, które dotarły na adres ubiegły piątek	o o o o o o b-time i-time
Email	ShowEmailFromTime	znajdę moje e-maile dotarły zeszły wtorek	o o o o b-time i-time
Email	ShowEmailFromTime	znajdź moje e-maile, które dotarły na adres ubiegły czwartek	o o o o o o o b-time i-time
Email	ShowEmailWithSubject	pokaż mi e-maile z tematem spotkanie	o o o o o b-subject
Email	ShowEmailWithSubject	pokaż mi moje e-maile z tematem urodziny marka	o o o o o o b-subject i-subject
Email	ShowEmailWithSubject	wyświetlaj moje e-maile z tematem musisz to zobaczyć	o o o o o b-subject i-subject i-subject
Email	ShowEmailWithSubject	znajdź e-maile z tematem propozycja stabilizacji kursu obrotu	o o o o b-subject i-subject i-subject i-subject
Email	ShowEmailWithSubject	znajdź moje e-maile z tematem seria telefonu	o o o o o b-subject i-subject
Email	ShowEmailWithPriority	wyświetlaj e-maile ważne	o o b-priority
Email	ShowEmailWithPriority	otrzymaj moje e-maile oferty	o o o b-priority
Email	ShowEmailWithPriority	pokaż mi e-maile wysłane	o o o b-priority
Email	SendEmailToAddressWithSubjectAndWithMessage	wyślij e-mail na adres marzena chruszczewski z tematem spotkanie w sprawie strategii gazowej i wiadomość cześć co u ciebie słychać?	o o o o b-to i-to o o b-subject i-subject i-subject i-subject i-subject o o b-message i-message i-message i-message i-message
Email	SendEmailToAddressWithSubjectAndWithMessage	wyślij e-mail na adres franciszka z tematem artykuł i wiadomość w załączeniu przesyłam raport z ubiegłego tygodnia	o o o o b-to o o b-subject o o b-message i-message i-message i-message i-message i-message i-message
Email	SendEmailToAddressWithSubjectAndWithMessage	wyślij e-mail na adres edmund.wojciechowski@o2.pl z tematem artykuły o problemach z zasilaniem w kalifornii i wiadomość pamiętaj o tym że musimy to skończyć do piątku	o o o o b-to o o b-subject i-subject i-subject i-subject i-subject i-subject i-subject o o b-message i-message i-message i-message i-message i-message i-message i-message i-message
Email	SendEmailToAddressWithSubjectAndWithMessage	wyślij e-mail na adres roman23640@wpl.pl z tematem nowe numery kont bpa i wiadomość niestety ale nie mogę pojawić się w tym tygodniu	o o o o b-to o o b-subject i-subject i-subject i-subject o o b-message i-message i-message i-message i-message i-message i-message i-message i-message
Email	SendEmailToAddressWithSubjectAndWithMessage	wyślij e-mail na adres emilian25590@gmail.com z tematem szkic trasy ken'a i wiadomość chciałbym złożyć zamówienie na regał sztokholm	o o o o b-to o o b-subject i-subject i-subject o o b-message i-message i-message i-message i-message i-message
Email	SendEmailToAddressWithSubjectAndWithMessage	wyślij e-mail na adres antoni.wyrzykowski@o2.pl z tematem głosuj w konkursie ocalałych haasweek! i wiadomość hadacz i sztab wyborczy bk ofiarami nagrań	o o o o b-to o o b-subject i-subject i-subject i-subject i-subject o o b-message i-message i-message i-message i-message i-message i-message
Email	SendEmailToAddressWithSubjectAndWithMessage	wyślij e-mail na adres maria.dobrucki@gmail.com z tematem empiryczne badanie wysokich cen i wiadomość osobiście to mówił czy z tableta ?	o o o o b-to o o b-subject i-subject i-subject i-subject o o b-message i-message i-message i-message i-message i-message i-message
Email	SendEmailToAddressWithSubjectAndWithMessage	wyślij e-mail na adres dorian31594@onet.pl z tematem proponowane zmiany w nda i wiadomość dzięki za informacje	o o o o b-to o o b-subject i-subject i-subject i-subject o o b-message i-message i-message
Email	SendEmailToAddressWithSubjectAndWithMessage	prześlij wiadomość e-mail na adres ludmiła13277@onet.pl z tematem przetłumaczone dokumenty z komunikatem ale trochę agresywnie musicie pogrywać	o o o o o b-to o o b-subject i-subject o o b-message i-message i-message i-message i-message
Email	SendEmailToAddressWithSubjectAndWithMessage	prześlij wiadomość e-mail na adres julia.małecki@onet.pl z tematem murkowski ustawodawstwo elektryczne z komunikatem a gdzie macie biuro w poznani ?	o o o o o b-to o o b-subject i-subject i-subject o o b-message i-message i-message i-message i-message i-message i-message
Email	SendEmailToAddressWithSubjectAndWithMessage	prześlij wiadomość e-mail na adres bartłomiej.kłossowski@o2.pl z tematem wykres okrs z komunikatem petru pomarzyć sobie można	o o o o o b-to o o b-subject i-subject o o b-message i-message i-message i-message
Email	SendEmailToAddressWithSubjectAndWithMessage	prześlij wiadomość e-mail na adres marceli19989@gazeta.pl z tematem lotnicza rozmowa o bezpośrednim dostępie z komunikatem ale ty pawelku mozesz dostać na zaś	o o o o o b-to o o b-subject i-subject i-subject i-subject i-subject o o b-message i-message i-message i-message i-message i-message i-message
Email	SendEmailToAddressWithSubjectAndWithMessage	prześlij wiadomość e-mail na adres mamy z tematem problem eksportu turbiny z komunikatem otóż to z wyjàtkiem lub czasopisma	o o o o o b-to o o b-subject i-subject i-subject o o b-message i-message i-message i-message i-message i-message
Email	SendEmailToAddressWithSubjectAndWithMessage	prześlij wiadomość e-mail na adres sergiusz14859@o2.pl z tematem informacje o dzisiejszym posiedzeniu komitetu ds. energii z komunikatem i że sam wie coś o tym	o o o o o b-to o o b-subject i-subject i-subject i-subject i-subject i-subject i-subject o o b-message i-message i-message i-message i-message i-message i-message
Email	SendEmailToAddressWithSubjectAndWithMessage	prześlij wiadomość e-mail na adres bożeny z tematem święto z komunikatem to krok do dyktatury wewnątrz partyjnej po	o o o o o b-to o o b-subject o o b-message i-message i-message i-message i-message i-message i-message
Email	SendEmailToAddressWithSubjectAndWithMessage	prześlij wiadomość e-mail na adres reginy z tematem jeszcze jedna rzecz z komunikatem ostatnio czarny koń miał numer 7	o o o o o b-to o o b-subject i-subject i-subject o o b-message i-message i-message i-message i-message i-message
Email	SendEmailToAddressWithSubjectAndWithMessage	prześlij wiadomość e-mail na adres zenobia.skiba@interia.pl z tematem anthony sexton z komunikatem klasyka prosze pana	o o o o o b-to o o b-subject i-subject o o b-message i-message i-message
Email	SendEmailToAddressWithSubjectAndWithMessage	prześlij wiadomość e-mail na adres natalia.kałuża@wpl.pl z tematem zmiany w naszej umowie nieskończoności z komunikatem patologia obywatelska jest rozpaczliwa przy użyciu mojego Gmaila	o o o o o b-to o o b-subject i-subject i-subject i-subject i-subject o o b-message i-message i-message i-message o o o o
Email	SendEmailToAddressWithSubjectAndWithMessage	prześlij wiadomość e-mail na adres patrycja.towarek@gmail.com z tematem spotkanie z komunikatem chyba was po lo przy użyciu mojego Gmaila	o o o o o b-to o o b-subject o o b-message i-message i-message i-message o o o o
Email	SendEmailToAddressWithSubjectAndWithMessage	prześlij wiadomość e-mail na adres kornel20335@o2.pl z tematem gspp na czele z komunikatem każdy głosuje wedle sumienia przy użyciu mojego Gmaila	o o o o o b-to o o b-subject i-subject i-subject o o b-message i-message i-message i-message o o o o
Email	SendEmailToAddressWithSubjectAndWithMessage	prześlij wiadomość e-mail na adres oskar10731@interia.pl z tematem webcasting i kongres z komunikatem a jeszcze darmowe leki przy użyciu mojego Gmaila	o o o o o b-to o o b-subject i-subject i-subject o o b-message i-message i-message i-message o o o o
Email	SendEmailToAddressWithSubjectAndWithMessage	prześlij wiadomość e-mail na adres joachim22538@gazeta.pl z tematem zgłoszenia ferc z komunikatem ok bezargumentowcu przy użyciu mojego Gmaila	o o o o o b-to o o b-subject i-subject o o b-message i-message o o o o
Email	SendEmailToAddressWithSubjectAndWithMessage	prześlij wiadomość e-mail na adres tobiasza z tematem konferencja prasowa gubernatorów z komunikatem dziękujemy za miłe wsparci ! przy użyciu mojego Gmaila	o o o o o b-to o o b-subject i-subject i-subject o o b-message i-message i-message i-message i-message o o o o
Email	SendEmailToAddressWithSubjectAndWithMessage	prześlij wiadomość e-mail na adres sylwi z tematem pozdrowienia z san diego z komunikatem po ośmiu latach sobie przypomniel ! niesamowite przy użyciu mojego Gmaila	o o o o o b-to o o b-subject i-subject i-subject i-subject o o b-message i-message i-message i-message i-message i-message i-message o o o o
Email	SendEmailToAddressWithSubjectAndWithMessage	prześlij wiadomość e-mail na adres olgierd30245@interia.pl z tematem list prezesa z komunikatem nawet pan nizinkiewicz ma wątpliwości przy użyciu mojego Gmaila	o o o o o b-to o o b-subject i-subject o o b-message i-message i-message i-message i-message o o o o
Email	SendEmailToAddressWithSubjectAndWithMessage	prześlij wiadomość e-mail na adres mirosław18814@interia.pl z tematem 4-miesięczna krocząca prognoza z komunikatem nie wszystkich na szczęście przy użyciu mojego Gmaila	o o o o o b-to o o b-subject i-subject i-subject o o b-message i-message i-message i-message o o o o
Email	SendEmailToAddressWithSubjectAndWithMessage	prześlij wiadomość e-mail na adres lidia.kędzierski@onet.pl z tematem nowy list z poradami edisona z komunikatem dziękujemy bardzo przekażemy przy użyciu mojego Gmaila	o o o o o b-to o o b-subject i-subject i-subject i-subject i-subject o o b-message i-message i-message o o o o
Email	SendEmailToAddressWithSubject	e-mail na adres anna.pasternak@o2.pl z tematem brakujące oferty	o o o b-to o o b-subject i-subject
Email	SendEmailToAddressWithSubject	e-mail na adres marian6091@onet.pl z tematem hr magazyn jest tutaj!	o o o b-to o o b-subject i-subject i-subject i-subject
Email	SendEmailToAddressWithSubject	e-mail na adres artur.wdowiak@o2.pl z tematem najwyższy poziom energii	o o o b-to o o b-subject i-subject i-subject
Email	SendEmailToAddressWithSubject	e-mail na adres nikodem6433@o2.pl z tematem aktualizacja korporacji energetycznej mountian	o o o b-to o o b-subject i-subject i-subject i-subject
Email	SendEmailToAddressWithSubject	e-mail na adres elwira10270@gazeta.pl z tematem temat połączenia konferencyjnego	o o o b-to o o b-subject i-subject i-subject
Email	SendEmailToAddressWithSubject	e-mail na adres włodzimierz.skiba@wpl.pl z tematem spotkanie z johnem lavorato	o o o b-to o o b-subject i-subject i-subject i-subject
Email	SendEmailToAddressWithSubject	e-mail na adres kaji z tematem osu ogłasza zasady dotyczące biletów do gry w kręgle	o o o b-to o o b-subject i-subject i-subject i-subject i-subject i-subject i-subject i-subject i-subject
Email	SendEmailToAddressWithSubject	e-mail na adres michał.szulc@gazeta.pl z tematem świątynia dan	o o o b-to o o b-subject i-subject
Email	SendEmailToAddressWithSubject	e-mail na adres aliny grec z tematem specjalne spotkanie po południu	o o o b-to i-to o o b-subject i-subject i-subject i-subject
Email	SendEmailToAddressWithSubject	prześlij wiadomość e-mail na adres moniki z tematem lista kontaktów grupy ryzyka w kalifornii	o o o o o b-to o o b-subject i-subject i-subject i-subject i-subject i-subject
Email	SendEmailToAddressWithSubject	prześlij wiadomość e-mail na adres sylwester1966@o2.pl z tematem okrągły stół	o o o o o b-to o o b-subject i-subject
Email	SendEmailToAddressWithSubject	prześlij wiadomość e-mail na adres cioci marysi z tematem wydarzenie w bordeaux!	o o o o o b-to i-to o o b-subject i-subject i-subject
Email	SendEmailToAddressWithSubject	prześlij wiadomość e-mail na adres jerzy.wesołowski@interia.pl z tematem trening 7 marca	o o o o o b-to o o b-subject i-subject i-subject
Email	SendEmailToAddressWithSubject	prześlij wiadomość e-mail na adres zofia21912@gmail.com z tematem promocyjne bilety blezer dla pracowników ena	o o o o o b-to o o b-subject i-subject i-subject i-subject i-subject i-subject
Email	SendEmailToAddressWithSubject	prześlij wiadomość e-mail na adres mieczysława.krawczyk@wpl.pl z tematem miło było cię poznać	o o o o o b-to o o b-subject i-subject i-subject i-subject
Email	SendEmailToAddressWithSubject	prześlij wiadomość e-mail na adres pani goździkowej z tematem dyżur weekendowy	o o o o o b-to i-to o o b-subject i-subject
Email	SendEmailToAddressWithSubject	prześlij wiadomość e-mail na adres kaja.borkowski@o2.pl z tematem urg umowy dotyczące sekurytyzacji gazu	o o o o o b-to o o b-subject i-subject i-subject i-subject i-subject
Email	SendEmailToAddressWithSubject	prześlij wiadomość e-mail na adres eleonora.grec@gmail.com z tematem dodatkowe akcje ferc prawdopodobnie w poniedziałek	o o o o o b-to o o b-subject i-subject i-subject i-subject i-subject i-subject
Email	SendEmailToAddressWithSubject	przekaż e-mail na adres jędrzej29696@o2.pl z tematem sprzedaż do kalifornii przy użyciu mojej Gmaila	o o o o b-to o o b-subject i-subject i-subject o o o o
Email	SendEmailToAddressWithSubject	przekaż e-mail na adres lech21428@gmail.com z tematem programiści enrononline przy użyciu mojej Gmaila	o o o o b-to o o b-subject i-subject o o o o
Email	SendEmailToAddressWithSubject	przekaż e-mail na adres rafał.mazur@onet.pl z tematem podsumowanie pulpy na lipiec przy użyciu mojej Gmaila	o o o o b-to o o b-subject i-subject i-subject i-subject o o o o
Email	SendEmailToAddressWithSubject	przekaż e-mail na adres andżelika4074@gmail.com z tematem podprojekt fresno przy użyciu mojej Gmaila	o o o o b-to o o b-subject i-subject o o o o
Email	SendEmailToAddressWithSubject	przekaż e-mail na adres sabina.woźniak@o2.pl z tematem miazga przy użyciu mojej Gmaila	o o o o b-to o o b-subject o o o o
Email	SendEmailToAddressWithSubject	przekaż e-mail na adres gabriela z tematem źródła zdarzeń przy użyciu mojej Gmaila	o o o o b-to o o b-subject i-subject o o o o
Email	SendEmailToAddressWithSubject	przekaż e-mail na adres olaf.jakubowski@gmail.com z tematem jan dzień wakacji przy użyciu mojej Gmaila	o o o o b-to o o b-subject i-subject i-subject o o o o
Email	SendEmailToAddressWithSubject	przekaż e-mail na adres mariola28364@o2.pl z tematem nowa sprawa erisa przeciwko enronowi przy użyciu mojej Gmaila	o o o o b-to o o b-subject i-subject i-subject i-subject i-subject o o o o
Email	SendEmailToAddressWithSubject	przekaż e-mail na adres kinga.żurek@interia.pl z tematem zatrudnienie przy użyciu mojej Gmaila	o o o o b-to o o b-subject o o o o
Email	SendEmail	przesłać komuś wiadomość e-mail	o o o o
Email	SendEmail	przesłać gdzieś e-mail	o o o
Email	SendEmailToAddress	napisz kinga14652@o2.pl	o b-to
Email	SendEmailToAddress	napisz renaty kalinowskiej	o b-to i-to
Email	SendEmailToAddress	napisz józefa30325@gazeta.pl	o b-to
Email	SendEmailToAddress	napisz honoraty kalinowskiej	o b-to i-to
Email	SendEmailToAddress	napisz feliksa17588@interia.pl	o b-to
Email	SendEmailToAddress	napisz teodor4901@o2.pl	o b-to
Email	SendEmailToAddress	napisz ryszard5518@o2.pl	o b-to
Email	SendEmailToAddress	napisz grażyna.kłossowski@wpl.pl	o b-to
Email	SendEmailToAddress	napisz daria2442@interia.pl	o b-to
Email	SendEmailToAddress	wyślij e-mail na adres sonia22569@o2.pl, używając mojej Gmaila	o o o o b-to i-to i-to i-to
Email	SendEmailToAddress	wyślij e-mail na adres lilianna.przybysz@gmail.com, używając mojej Gmaila	o o o o b-to i-to i-to i-to
Email	SendEmailToAddress	wyślij e-mail na adres rozalia29474@o2.pl, używając mojej Gmaila	o o o o b-to i-to i-to i-to
Email	SendEmailToAddress	wyślij e-mail na adres marceliny, używając mojej Gmaila	o o o o b-to i-to i-to i-to
Email	SendEmailToAddress	wyślij e-mail na adres marzanna.cichocki@gazeta.pl, używając mojej Gmaila	o o o o b-to i-to i-to i-to
Email	SendEmailToAddress	wyślij e-mail na adres liliana.wiśniewski@gazeta.pl, używając mojej Gmaila	o o o o b-to i-to i-to i-to
Email	SendEmailToAddress	wyślij e-mail na adres kamili, używając mojej Gmaila	o o o o b-to i-to i-to i-to
Email	SendEmailToAddress	wyślij e-mail na adres walentyna.szymański@onet.pl, używając mojej Gmaila	o o o o b-to i-to i-to i-to
Email	SendEmailToAddress	wyślij e-mail na adres longin.piotrowski@onet.pl, używając mojej Gmaila	o o o o b-to i-to i-to i-to
Email	ReplyToEmailFromAddress	odpowiedz irena.krawczyk@onet.pl	o b-to
Email	ReplyToEmailFromAddress	odpowiedz hanna.miller@onet.pl	o b-to
Email	ReplyToEmailFromAddress	odpowiedz moniki	o b-to
Email	ReplyToEmailFromAddress	odpowiedz diana.cichocki@gmail.com	o b-to
Email	ReplyToEmailFromAddress	odpowiedz krystian13096@o2.pl	o b-to
Email	ReplyToEmailFromAddress	odpowiedz klaudiusz borkowski	o b-to i-to
Email	ReplyToEmailFromAddress	odpowiedz lena.woźniak@gazeta.pl	o b-to
Email	ReplyToEmailFromAddress	odpowiedz leonard.zięba@o2.pl	o b-to
Email	ReplyToEmailFromAddress	odpowiedz benedykt11208@onet.pl	o b-to
Email	ReplyToEmailFromAddress	odpowiedz na łucja26920@wpl.pl	o o b-to
Email	ReplyToEmailFromAddress	odpowiedz na wacława	o o b-to
Email	ReplyToEmailFromAddress	odpowiedz na alan27460@o2.pl	o o b-to
Email	ReplyToEmailFromAddress	odpowiedz na anetta.wdowiak@interia.pl	o o b-to
Email	ReplyToEmailFromAddress	odpowiedz na borysa	o o b-to
Email	ReplyToEmailFromAddress	odpowiedz na marian.hoffmann@interia.pl	o o b-to
Email	ReplyToEmailFromAddress	odpowiedz na waleria.potok@gazeta.pl	o o b-to
Email	ReplyToEmailFromAddress	odpowiedz na gerard12550@onet.pl	o o b-to
Email	ReplyToEmailFromAddress	odpowiedz na wiesława6878@o2.pl	o o b-to
Facebook	PostStatus	post na Facebooku z napisem to jeden z tych uczonych po	o o o o o b-status i-status i-status i-status i-status i-status
Facebook	PostStatus	opublikować na Facebooku, że co za język taki nowoczesn !	o o o o b-status i-status i-status i-status i-status i-status
Facebook	PostStatus	zaktualizuj moją stronę na Facebooku, mówiąc wstyd mi za wpisy powyzej	o o o o o o b-status i-status i-status i-status i-status
Facebook	PostPicture	dodaj zdjęcie na Facebooku	o o o o
Facebook	PostPicture	dodaj zdjęcie na moim facebooku	o o o o o
Facebook	PostPicture	dodaj zdjęcie do facebooka	o o o o
Facebook	PostPicture	dodaj zdjęcie do mojego facebooka	o o o o o
Facebook	ShowAlbumWithName	pokaż zdjęcia w albumie wakacje na Facebooku	o o o o b-album o o
Facebook	ShowAlbumWithName	pokaż zdjęcia w moim albumie kotki i pieski	o o o o o b-album i-album i-album
Facebook	ShowAlbumWithName	wyświetlać zdjęcia w albumie komunia	o o o o b-album
Facebook	ShowAlbumWithName	wyświetlaj zdjęcia w albumie memy na Facebooku	o o o o b-album o o
Facebook	ShowAlbumWithName	wyświetlać zdjęcia w moim albumie moja ukochana	o o o o o b-album i-album
Facebook	ShowAlbumWithName	pokazuj zdjęcia w moim albumie ulubione obrazy klimta na Facebooku	o o o o o b-album i-album i-album o o
Fitbit	ShowStepsOnDate	mój fitbit wkracza na 3 lutego	o o o o b-date i-date
Fitbit	ShowStepsOnDate	liczba kroków na 11 lipca od fitbit	o o o b-date i-date o o
Fitbit	ShowStepsOnDate	liczba kroków liczona jest w 21 lipca od fitbit	o o o o o b-date i-date o o
Fitbit	NotifyOnWeight	powiadom mnie, jeśli moja waga przekroczy 55 kg	o o o o o o b-weight i-weight
Fitbit	NotifyOnWeight	powiadom mnie, jeśli moja waga przekroczy 95 kg	o o o o o o b-weight i-weight
Fitbit	NotifyOnWeight	powiadom mnie, jeśli moja waga przekroczy 61 kg	o o o o o o b-weight i-weight
Fitbit	NotifyOnWeight	powiedz mi, czy moja waga przekroczy 63 kg	o o o o o o b-weight i-weight
Fitbit	NotifyOnWeight	powiedz mi, czy moja waga przekroczy 82 kg	o o o o o o b-weight i-weight
Fitbit	NotifyOnWeight	powiedz mi, czy moja waga przekroczy 99 kg	o o o o o o b-weight i-weight
Gdrive	CreateFileWithName	utwórz nowy plik o nazwie mp3 na dysku Google	o o o o o b-file_name o o o
Gdrive	ShareFileWithNameToAddress	udostępnij moją nowa łazienka adela.miller@o2.pl i daj zgodę na czytanie	o o b-file_name i-file_name b-mail o o o o o
Gdrive	ShareFileWithNameToAddress	udostępnij mój przepis na kotlety z michalina.sikora@o2.pl i pozwól na odczyt i zapis	o o b-file_name i-file_name i-file_name o b-mail o o o o o o
Instagram	ShowPicturesWithLocation	pokaż zdjęcia z Instagrama, które zrobiłem, gdy byłem w pune	o o o o o o o o o b-location
Instagram	ShowPicturesWithLocation	pokaż zdjęcia z Instagrama wykonane w nowym jorku	o o o o o o b-location i-location
Instagram	ShowPicturesWithLocation	pokaż zdjęcia z Instagrama zrobione, gdy byłem w stambule	o o o o o o o o b-location
Instagram	ShowPicturesWithLocation	pokaż zdjęcia na Instagramie oznaczone lokalizacją pekinie	o o o o o o b-location
Instagram	ShowPicturesWithLocation	pokaż zdjęcia na Instagramie ze znacznikiem lokalizacji policach	o o o o o o o b-location
Instagram	ShowPicturesWithLocation	pokaż zdjęcia na Instagramie z tagiem geolokalizacyjnym bogocie	o o o o o o o b-location
Instagram	ShowPicturesWithLocation	pokaż zdjęcia na Instagramie z tagiem GPS chongqing	o o o o o o o b-location
Instagram	ShowPicturesWithLocation	wyświetl zdjęcia z Instagrama, które zrobiłem w gieczu	o o o o o o o b-location
Instagram	ShowPicturesWithLocation	wyświetl zdjęcia z Instagrama, które zrobiłem, gdy byłem w ahmadabad	o o o o o o o o o b-location
Instagram	ShowPicturesWithLocation	wyświetl zdjęcia z Instagrama wykonane w pusan	o o o o o o b-location
Instagram	ShowPicturesWithLocation	wyświetlaj zdjęcia z Instagrama zrobione, gdy byłem w rangun	o o o o o o o o b-location
Instagram	ShowPicturesWithLocation	wyświetl zdjęcia na Instagramie oznaczone lokalizacją zakopanym	o o o o o o b-location
Instagram	ShowPicturesWithLocation	wyświetl zdjęcia na Instagramie ze znacznikiem lokalizacji sankt petersburgu	o o o o o o o b-location i-location
Instagram	ShowPicturesWithLocation	wyświetl zdjęcia na Instagramie z tagiem geolokalizacji santiago	o o o o o o o b-location
Instagram	ShowPicturesWithLocation	wyświetl zdjęcia na Instagramie z tagiem GPS bangalore	o o o o o o o b-location
Instagram	ShowPicturesWithLocation	wypisz zdjęcia na Instagramie, które zrobiłem w hongkongu	o o o o o o o b-location
Instagram	ShowPicturesWithLocation	wypisz zdjęcia na Instagramie, które zrobiłem, gdy byłem w mumbaju	o o o o o o o o o b-location
Instagram	ShowPicturesWithLocation	wypisz zdjęcia z Instagrama wykonane w kanpur	o o o o o o b-location
Instagram	ShowPicturesWithLocation	wypisz zdjęcia na Instagramie zrobione, gdy byłem w ułan bator	o o o o o o o o b-location i-location
Instagram	ShowPicturesWithLocation	wymień zdjęcia na Instagramie oznaczone lokalizacją bagdadzie	o o o o o o b-location
Instagram	ShowPicturesWithLocation	wymień zdjęcia na Instagramie ze znacznikiem lokalizacji nairobi	o o o o o o o b-location
Instagram	ShowPicturesWithLocation	wyświetl zdjęcia na Instagramie z tagiem geolokalizacji kantonie	o o o o o o o b-location
Instagram	ShowPicturesWithLocation	wyświetl zdjęcia na Instagramie z tagiem GPS tiencin	o o o o o o o b-location
Instagram	ShowPicturesWithLocation	pokaż mi zdjęcia na Instagramie, które zrobiłem, gdy byłem w stargardzie	o o o o o o o o o o b-location
Instagram	ShowPicturesWithLocation	pokaż mi zdjęcia z Instagrama wykonane w lublinie	o o o o o o o b-location
Instagram	ShowPicturesWithLocation	pokaż mi zdjęcia z Instagrama zrobione, gdy byłem w poznaniu	o o o o o o o o o b-location
Instagram	ShowPicturesWithLocation	pokaż mi zdjęcia na Instagramie oznaczone lokalizacją pjongjang	o o o o o o o b-location
Instagram	ShowPicturesWithLocation	pokaż mi zdjęcia na Instagramie z tagiem lokalizacji karaczi	o o o o o o o o b-location
Instagram	ShowPicturesWithLocation	pokaż mi zdjęcia na Instagramie z tagiem geolokalizacji chartum	o o o o o o o o b-location
Instagram	ShowPicturesWithLocation	pokaż mi zdjęcia na Instagramie z tagiem GPS białymstoku	o o o o o o o o b-location
Instagram	PostWithPicturesFromDateAndWithLocation	utwórz post na Instagramie ze wszystkimi moimi zdjęciami wykonanymi w piotrkowie trybunalskim na 19 jako kolaż	o o o o o o o o o o b-location i-location o b-date_day o o
Instagram	PostWithPicturesFromDateAndWithLocation	utwórz post na Instagramie ze wszystkimi moimi zdjęciami wykonanymi w nowym jorku w marcu jako kolaż	o o o o o o o o o o b-location i-location o b-date_month o o
